rank,rank_delta,player_name,country_code,event_count,average_points,total_points
502,0,Lee Lopez,USA,39,0.16,6.14
503,0,Hayley Davis,GBR,33,0.16,5.48
504,6,Fumika Kawagishi,JPN,47,0.16,7.35
505,-7,Gigi Stoll,USA,41,0.16,6.4
506,-13,Seul A Yoon,KOR,37,0.16,5.77
507,-6,Jillian Hollis,USA,43,0.16,6.71
508,-8,Renuka Suksukont,THA,31,0.16,5.45
509,-4,Charlotte Thompson,GBR,31,0.16,5.43
510,1,Kyung Kim,USA,41,0.15,6.33
511,3,Brianna Do,USA,37,0.15,5.68
512,0,Sophia Schubert,USA,41,0.15,6.29
513,8,Nina Pegova,RUS,31,0.15,5.33
514,10,INA Yoon,KOR,12,0.15,5.32
515,10,Sehee Lee,KOR,17,0.15,5.32
516,-1,Ching Huang,TPE,37,0.15,5.59
517,-8,Supamas Sangchan,THA,34,0.15,5.28
518,-10,Laetitia Beck,ISR,50,0.15,7.51
519,-6,Cheyenne Woods,USA,32,0.15,5.25
520,-4,Eun Ju Lee,KOR,38,0.15,5.7
521,47,Carmen Alonso,ESP,37,0.15,5.51
522,-5,Na Kyung LEE,KOR,19,0.15,5.19
523,28,Mayu Hattori,JPN,43,0.15,6.32
524,-6,Camilla Lennarth,SWE,31,0.15,5.14
525,65,Rachel Rohanna,USA,47,0.15,6.9
526,-6,Jiwon Jeon,KOR,17,0.15,5.13
527,-5,Jeong Hwa2 LEE,KOR,22,0.15,5.09
528,-2,Aya Kinoshita,JPN,37,0.14,5.31
529,2,hyo ju You,KOR,23,0.14,4.98
530,-3,Gina Kim,USA,2,0.14,4.97
531,8,Ayame Morii,JPN,37,0.14,5.23
532,26,Sierra Brooks,USA,26,0.14,4.93
533,26,Noora Komulainen,FIN,32,0.14,4.93
534,-11,Kim Kaufman,USA,52,0.14,7.32
535,5,Natsuki Hatano,JPN,35,0.14,4.91
536,16,Risa Murata,JPN,32,0.14,4.91
537,-4,Haley Moore,USA,24,0.14,4.9
538,-9,Cho hui Kim,KOR,54,0.14,7.55
539,-4,Michelle Wie West,USA,12,0.14,4.89
540,-6,Jin Joo HONG,KOR,20,0.14,4.86
541,-9,Yeon-Song Kim,KOR,43,0.14,5.97
542,-14,Chae Eun 2 Lee,KOR,36,0.14,4.99
543,-5,Solar Lee,KOR,58,0.14,8.04
544,-8,Michelle Thomson,SCO,37,0.14,5.12
545,-4,Rio Takeda,JPN,4,0.14,4.81
546,-16,Marta Sanz Barrio,ESP,54,0.14,7.41
547,-3,Yukiko Nishiki,JPN,49,0.14,6.71
548,12,Hwayeong YUN,KOR,13,0.14,4.78
549,-2,Camille Chevalier,FRA,36,0.14,4.92
550,-2,Jessica  PENG,TPE,36,0.14,4.87
551,-9,Emma Nilsson,SWE,41,0.14,5.54
552,-15,Manon Gidali,FRA,36,0.14,4.86
553,-4,Nicole Garcia,RSA,14,0.13,4.7
554,-11,Hannah Burke,ENG,27,0.13,4.7
555,11,YEWON LEE,KOR,13,0.13,4.69
556,-10,Arpichaya Yubol,THA,14,0.13,4.65
557,-12,Lynn Carlsson,SWE,20,0.13,4.65
558,-4,Hinako Yamauchi,JPN,54,0.13,7.1
559,-9,Seung Ji Han,KOR,20,0.13,4.56
560,-4,So Hyeon AN,KOR,23,0.13,4.51
561,-8,Karen Gondo,JPN,63,0.13,8.1
562,-7,Ya-Chun Chang,TPE,10,0.13,4.49
563,-6,Urara Onuki,JPN,48,0.13,6.13
564,-3,Laura Davies,ENG,33,0.13,4.43
565,13,Agathe Laisne,FRA,7,0.13,4.4
566,-1,Megumi Shimokawa,JPN,55,0.13,6.9
567,-3,Jacqui Concolino,USA,40,0.12,4.96
568,-5,Moeno Tan,JPN,42,0.12,5.2
569,-7,Riko Inoue,JPN,42,0.12,5.19
570,1,Savannah Vilaubi,USA,27,0.12,4.32
571,-4,Tsugumi MIYASAKI,JPN,47,0.12,5.78
572,-3,Yoko Ogawa,JPN,34,0.12,4.3
573,-1,Ririna Staiano,JPN,34,0.12,4.29
574,-4,Shi Hyun AHN,KOR,41,0.12,4.99
575,-2,Szu-Han Chen,TPE,34,0.12,4.23
576,-1,Jackie Stoelting,USA,22,0.12,4.18
577,3,Yuko Fukuda,JPN,38,0.12,4.49
578,4,Risa Ogusu,JPN,45,0.12,5.29
579,-3,Nattagate  Nimitpongkul,THA,29,0.12,4.1
580,-6,Florentyna Parker,ENG,38,0.12,4.41
581,-2,Pauline Roussin-Bouchard,FRA,4,0.12,4.06
582,-1,Youngin Chun,KOR,30,0.11,4
583,2,SeBeen JUNG,KOR,14,0.11,4
584,-7,Anne-Catherine Tanguay,CAN,26,0.11,3.99
585,44,Emma Grechi,FRA,30,0.11,3.98
586,-2,Pannarat Thanapolboonyaras,THA,44,0.11,4.96
587,0,Rachel Heck,USA,5,0.11,3.94
588,0,Liz Nagel,USA,39,0.11,4.36
589,-6,So Yeon Nam,KOR,37,0.11,4.12
590,-1,Eri Jooma,JPN,27,0.11,3.89
591,15,Hexi Yuan,CHN,42,0.11,4.66
592,-1,Grace Kim,AUS,9,0.11,3.84
593,1,Alison Muirhead,SCO,19,0.11,3.82
594,-2,Kris Tamulis,USA,30,0.11,3.78
595,5,Ayano Nitta,JPN,33,0.11,3.77
596,-10,Yoon Ji Cho,KOR,39,0.11,4.2
597,-2,Demi Runas,USA,40,0.11,4.31
598,-1,Joanna Klatten,FRA,17,0.11,3.75
599,-1,Linda Wessberg,SWE,30,0.11,3.73
600,-4,Yupaporn Kawinpakorn,THA,35,0.11,3.71
601,-8,Catriona Matthew,SCO,23,0.11,3.7
602,-1,Ingrid Lindblad,SWE,3,0.11,3.7
603,1,Mayu Hosaka,JPN,42,0.11,4.43
604,-5,Celine Borge,NOR,41,0.11,4.31
605,-3,Yujeong Son,KOR,40,0.1,4.19
606,-3,Sae Ogura,JPN,12,0.1,3.65
607,6,Mireia Prat,ESP,41,0.1,4.24
608,9,Seung-Hee Yu,KOR,45,0.1,4.59
609,1,Dasom Ma,KOR,13,0.1,3.55
610,1,Anna Redding,USA,21,0.1,3.54
611,-2,Karine Icher,FRA,19,0.1,3.54
612,-4,Shin Ae Ahn,KOR,33,0.1,3.52
613,12,Astrid Vayson De Pradenne,FRA,40,0.1,4.03
614,-9,Prima Thammaraks,THA,42,0.1,4.22
615,-8,Beatriz Recari,ESP,23,0.1,3.46
616,0,Lejan Lewthwaite,RSA,29,0.1,3.45
617,7,Allie White,USA,37,0.1,3.65
618,0,Akane Saeki,JPN,35,0.1,3.43
619,-5,Hsuan Chen,TPE,28,0.1,3.43
620,-5,Kotono Kozuma,JPN,57,0.1,5.57
621,44,Maaya Suzuki,JPN,44,0.1,4.28
622,-3,Nobuhle Dlamini,SWZ,24,0.1,3.4
623,-11,Laura Restrepo,PAN,41,0.1,3.97
624,15,Ha rang Lee,ESP,46,0.1,4.43
625,80,Min A Yoon,KOR,22,0.1,3.35
626,10,Julie Aime,FRA,47,0.1,4.49
627,-7,Li-Ning WANG,TPE,25,0.1,3.34
628,-6,Xinying Wang,CHN,10,0.1,3.33
629,-8,Mayu Wakui,JPN,13,0.1,3.33
630,-7,Ornnicha Konsunthea,THA,22,0.09,3.28
631,-5,Anna Kono,JPN,31,0.09,3.27
632,-5,Ami Hirai,JPN,12,0.09,3.2
633,81,Si Woo chung,KOR,24,0.09,3.19
634,-6,Vicky Hurst,USA,46,0.09,4.16
635,17,Soo Bin JUNG,KOR,21,0.09,3.16
636,25,Karoline Lund,NOR,23,0.09,3.13
637,-4,Yeon Jung Son,KOR,14,0.09,3.13
638,-3,Sara Kouskova,CZE,8,0.09,3.11
639,-9,Trichat Cheenglab,THA,23,0.09,3.1
640,-3,JEONG HYUN LEE,KOR,8,0.09,3.08
641,16,Sarina Schmidt,GER,24,0.09,3.08
642,-8,Lei Ye,CHN,5,0.09,3.07
643,30,Eui Kyung SHIN,KOR,18,0.09,3.07
644,16,Sarah White,USA,19,0.09,3.06
645,-14,Katja Pogacar,SLO,47,0.09,4.11
646,-8,Kayoung Kim,KOR,8,0.09,3.03
647,-4,Lily May Humphreys,ENG,7,0.09,3.03
648,-7,Ji Won Kang,KOR,23,0.09,3.02
649,-2,Jeongmin Moon,KOR,4,0.09,3
650,0,Emma Broze,FRA,4,0.09,3
651,-19,Bo Mi Park,KOR,41,0.09,3.5
652,-12,Himawari Ogura,JPN,34,0.09,2.99
653,-9,Monique Smit,RSA,18,0.09,2.98
654,-12,Miyu Yamato,JPN,47,0.09,3.99
655,-7,hyejung lee,KOR,18,0.08,2.97
656,25,Krista Bakker,FIN,24,0.08,2.97
657,-12,Doey Choi,AUS,7,0.08,2.96
658,-12,Junko Omote,JPN,45,0.08,3.8
659,-10,Breanna Gill,AUS,10,0.08,2.94
660,23,Sanghee Han,KOR,27,0.08,2.94
661,-11,Laura Gonzalez Escallon,BEL,34,0.08,2.93
662,2,Stacy Bregman,RSA,36,0.08,3.02
663,12,Jessica Karlsson,SWE,25,0.08,2.9
664,-10,Jenny Haglund,SWE,43,0.08,3.56
665,-12,Hanna Chen,TPE,30,0.08,2.86
666,21,Kyeong Bae,KOR,11,0.08,2.86
667,-16,Hsin Yu Lu,TPE,21,0.08,2.85
668,-13,Beth Allen,USA,36,0.08,2.9
669,-13,Silvia Banon,ESP,33,0.08,2.82
670,-7,Uh Jin Seo,KOR,13,0.08,2.81
671,-12,Sara Ota,JPN,7,0.08,2.81
672,-3,Jae Gyeong Park,KOR,7,0.08,2.77
673,-11,Kendra Dalton,USA,43,0.08,3.39
674,-3,Gudrun Bjorgvinsdottir,ISL,34,0.08,2.75
675,-7,Annelie Sjoholm,SWE,26,0.08,2.74
676,-18,Maddie Szeryk,CAN,42,0.08,3.28
677,17,JE YEONG LEE,KOR,19,0.08,2.73
678,-12,Princess Mary SUPERAL,PHI,20,0.08,2.73
679,-7,Maiken Bing Paulsen,NOR,21,0.08,2.73
680,-10,Aya Tamura,JPN,34,0.08,2.72
681,-3,Tereza Melecka,CZE,9,0.08,2.71
682,-8,Caroline Rominger,SUI,31,0.08,2.7
683,-4,Miyu Goto,JPN,30,0.08,2.68
684,-7,Aretha Pan,MAS,27,0.08,2.68
685,-5,Min Byeol KIM,KOR,6,0.08,2.68
686,-19,Laura Murray,SCO,40,0.08,3.05
687,-2,Anne-Charlotte Mora,FRA,18,0.08,2.65
688,-4,Elin Arvidsson,SWE,44,0.08,3.33
689,-7,Hinano Muguruma,JPN,13,0.08,2.64
690,-14,Hsin Lee,TPE,28,0.08,2.64
691,140,Gabriele Macdonald,SCO,27,0.07,2.62
692,-6,Alejandra Llaneza,MEX,45,0.07,3.34
693,0,Hee Jun KIM,KOR,14,0.07,2.55
694,-5,Niina Liias,FIN,26,0.07,2.53
695,3,Ayaka Morioka,JPN,36,0.07,2.6
696,-8,Nayeon Eum,KOR,30,0.07,2.53
697,-5,Yumi Kudo,JPN,24,0.07,2.51
698,-7,Greta Isabella Voelker,GER,20,0.07,2.51
699,-9,Xiang Sui,CHN,21,0.07,2.49
700,-1,Linette Littau Durr Holmslykke,DEN,19,0.07,2.47
701,-1,Anne-Lise Caudal,FRA,24,0.07,2.46
702,-5,Chika Sawada,JPN,31,0.07,2.45
703,-8,Go Un Yu,KOR,41,0.07,2.87
704,0,Bo Kyeom PARK,KOR,13,0.07,2.43
705,-9,Wannasiri Sirisampant,THA,34,0.07,2.43
706,3,Yu Yonezawa,JPN,35,0.07,2.41
707,27,Franziska Friedrich,GER,29,0.07,2.41
708,-5,Ingrid Gutierrez Nunez,MEX,44,0.07,3.03
709,-7,Valdis Thora Jonsdottir,ISL,21,0.07,2.4
710,-4,Sakura Kito,JPN,53,0.07,3.63
711,-10,Onnarin Sattayabanphot,THA,34,0.07,2.36
712,-5,Lori Beth Adams,USA,38,0.07,2.56
713,-5,Mana Shinozaki,JPN,29,0.07,2.35
714,-3,Da Won Kweon,KOR,30,0.07,2.34
715,-3,Yuri Fudoh,JPN,16,0.07,2.34
716,40,Isabella Deilert,FRA,30,0.07,2.33
717,452,Alessia Nobilio,ITA,4,0.07,2.33
718,-8,Jin Hee2 PARK,KOR,25,0.07,2.33
719,-3,Ho Jung YANG,KOR,13,0.07,2.33
720,-7,Wanchana PORUANGRONG,THA,25,0.07,2.33
721,-4,hyo min Jeon,KOR,9,0.07,2.33
722,-7,Elia Folch,ESP,47,0.07,3.12
723,174,Jung Woo LEE,KOR,15,0.07,2.31
724,19,Elina Nummenpää,FIN,26,0.07,2.31
725,-6,Liqi ZENG,CHN,5,0.07,2.3
726,-6,Hyun Ju Yoo,KOR,19,0.06,2.27
727,-9,Rachael Goodall,ENG,31,0.06,2.26
728,-7,Chie Sakai,JPN,36,0.06,2.32
729,-7,Kim ah ro mi,KOR,27,0.06,2.24
730,-7,Yuli Shi,CHN,18,0.06,2.23
731,-7,Rachael Taylor,SCO,31,0.06,2.22
732,-7,Anais Meyssonnier,FRA,26,0.06,2.19
733,-7,Tsubasa Kajitani,JPN,11,0.06,2.19
734,-5,Ana Pelaez,ESP,3,0.06,2.19
735,-8,Maria Beautell,ESP,27,0.06,2.19
736,-8,Kanyalak Preedasuttijit,THA,29,0.06,2.16
737,83,Pasqualle Coffa,NED,33,0.06,2.15
738,-8,Seong Weon Park,KOR,31,0.06,2.13
739,-6,Min Ji5 Kim,KOR,16,0.06,2.13
740,-3,Seo Yeon kwon,KOR,17,0.06,2.12
741,-10,Ye-Na Chung,KOR,35,0.06,2.12
742,-7,Ji Won2 SHIN,KOR,24,0.06,2.11
743,58,Cara Gainer,ENG,12,0.06,2.1
744,-12,Noemi  Jimenez,ESP,42,0.06,2.52
745,-7,Hsuan-Ping Chang,TPE,32,0.06,2.09
746,-10,Roberta Liti,ITA,43,0.06,2.53
747,-6,Maddie McCrary,USA,37,0.06,2.18
748,-9,Megumi Takahashi,JPN,30,0.06,2.03
749,-9,Keiko Sasaki,JPN,30,0.06,2.03
750,-8,Na Hye Go,KOR,18,0.06,2.03
751,-5,Cho Yeon Kim,KOR,27,0.06,2.01
752,-8,Julia Kurata,JPN,34,0.06,2.01
753,-3,Marine  Griffaut,FRA,2,0.06,2
754,15,Anaelle Carnet,FRA,27,0.06,1.99
755,-8,Filippa Moerk,SWE,27,0.06,1.99
756,-8,Hayuno Tateura,JPN,34,0.06,1.97
757,-6,EUNJUNG JI,KOR,13,0.06,1.96
758,-9,Chommapat  Pongthanarak,THA,14,0.06,1.96
759,-14,Nam Kyoung Song,KOR,23,0.06,1.95
760,-8,Fei-chien Yang,TPE,17,0.06,1.95
761,-6,Jiyu Jung,KOR,19,0.06,1.94
762,-5,Keiko Yamamoto,JPN,35,0.06,1.93
763,-9,Stina Resen,NOR,32,0.06,1.93
764,45,Marta Martin,ESP,33,0.05,1.89
765,-7,Taoli Yang,CHN,24,0.05,1.89
766,-13,Laura Gomez Ruiz,ESP,39,0.05,2.09
767,-7,Gyeong Eun Oh,KOR,18,0.05,1.86
768,-3,Kaori Makitani,JPN,36,0.05,1.9
769,-5,Soo jin Ji,KOR,13,0.05,1.85
770,-9,Jackie  CHULYA,THA,31,0.05,1.83
771,-12,Munchin Keh,NZL,27,0.05,1.82
772,-10,Brittany Marchand,CAN,39,0.05,2
773,-7,Ai-Chen Kuo,TPE,36,0.05,1.85
774,-6,Hye Yun2 Kim,KOR,11,0.05,1.79
775,-12,Malene Krolboll Hansen,DEN,38,0.05,1.94
776,-9,Isabelle Boineau,FRA,37,0.05,1.88
777,67,Katelyn Dambaugh,USA,17,0.05,1.77
778,-8,Moeka Nishihata,JPN,35,0.05,1.77
779,34,Seoyoon Kim,KOR,7,0.05,1.77
780,-8,Hanee Song,NZL,23,0.05,1.75
781,-7,Thanutra Boonraksasat,THA,32,0.05,1.73
782,1,Kana Taneda,JPN,39,0.05,1.92
783,-10,Sherman Santiwiwatthanaphong,THA,24,0.05,1.72
784,-6,Juliana Hung,NZL,12,0.05,1.71
785,-14,Cindy Ha,USA,42,0.05,2.06
786,-7,Haruka Amamoto,JPN,4,0.05,1.71
787,-11,Chia-Pei Lee,TPE,28,0.05,1.7
788,-13,Valentine Derrey,FRA,27,0.05,1.7
789,62,Louise Stahle,SWE,34,0.05,1.7
790,-13,Nanako Ueno,JPN,16,0.05,1.69
791,-7,Anna Magnusson,SWE,18,0.05,1.69
792,-12,Marie Fourquier,FRA,25,0.05,1.68
793,-7,Rui Aratake,JPN,23,0.05,1.68
794,-9,Olivia Mehaffey,IRL,6,0.05,1.68
795,-13,Yoon Jung Cho,KOR,27,0.05,1.68
796,-15,Kaho Kumagai,JPN,44,0.05,2.1
797,-10,Jaclyn Lee,CAN,32,0.05,1.65
798,-9,Yue Zhang,CHN,8,0.05,1.64
799,-11,Rudgeley Kirsten,AUS,2,0.05,1.64
800,-4,Haruka Kawasaki,JPN,9,0.05,1.62
801,-7,Momoka Miura,JPN,40,0.05,1.85
802,-7,Cassandra Hall,RSA,7,0.05,1.62
803,-12,Stephanie Na,AUS,53,0.05,2.44
804,-12,Maia Schechter,USA,44,0.05,2.03
805,-8,Miyuu Abe,JPN,15,0.05,1.61
806,35,Karoline Stormo,NOR,12,0.05,1.61
807,-14,Eun Ji Lee,KOR,29,0.05,1.6
808,-18,Misae Yanagisawa,JPN,31,0.05,1.6
809,-10,Shiho Toyonaga,JPN,42,0.05,1.91
810,-12,Lisa Pettersson,SWE,34,0.05,1.58
811,-11,Chih-Min Chen,TPE,9,0.05,1.58
812,-9,Yuka Nii,JPN,4,0.04,1.55
813,-9,Jiayun Li,CHN,17,0.04,1.54
814,-12,Tzu-Yi Chang,TPE,17,0.04,1.54
815,-8,Emilia Migliaccio,USA,3,0.04,1.53
816,-10,sohn ye-been,KOR,8,0.04,1.53
817,-9,August Kim,USA,42,0.04,1.82
818,-2,Regina Plasencia,MEX,29,0.04,1.51
819,-14,Suzuka Yamaguchi,JPN,36,0.04,1.55
820,-8,Erica Shepherd,USA,4,0.04,1.51
821,-11,Nanthikarn Raksachat,THA,25,0.04,1.5
822,-7,Chisato Iwai,JPN,9,0.04,1.5
823,-4,Ilhee Lee,KOR,2,0.04,1.49
824,-10,My Leander,SWE,18,0.04,1.49
825,-14,Meng Chu Chen,TPE,33,0.04,1.49
826,-8,Elena Moosmann,SUI,9,0.04,1.48
827,-10,Cajsa Persson,SWE,19,0.04,1.47
828,-6,Kaori Aoyama,JPN,29,0.04,1.47
829,-8,Kristin Coleman,USA,46,0.04,1.93
830,-7,Georgina Blackman,ENG,15,0.04,1.46
831,-7,Mizuki Seto,JPN,32,0.04,1.44
832,-7,Lakareber Abe,USA,45,0.04,1.85
833,-7,Sian Evans,ENG,26,0.04,1.43
834,-6,Shuri Sakuma,JPN,6,0.04,1.42
835,-3,Alexa Pano,USA,11,0.04,1.41
836,0,Katharina Muehlbauer,AUT,7,0.04,1.41
837,-8,Sofie Bringner,SWE,17,0.04,1.4
838,-1,Siyan CHEN,CHN,9,0.04,1.39
839,-1,Hira Naveed,AUS,18,0.04,1.39
840,-5,Eu Ddeum Lee,KOR,19,0.04,1.39
841,78,Lindsey McCurdy,USA,38,0.04,1.51
842,-12,Katie Yoo,USA,43,0.04,1.7
843,-3,Verena Gimmy,GER,23,0.04,1.37
844,-5,Lynn Chiu,TPE,30,0.04,1.37
845,-18,Madison Pressel,USA,39,0.04,1.52
846,-4,Erica HUANG ,TPE,12,0.04,1.36
847,-4,Emilie Paltrinieri,ITA,1,0.04,1.36
848,-14,Jean Reynolds,USA,41,0.04,1.59
849,-16,Seon Hwa LEE,KOR,33,0.04,1.35
850,-5,Ling-Jie Chen,TPE,14,0.04,1.33
851,-5,Inci Mehmet,ENG,16,0.04,1.33
852,-4,Kaori Yamamoto,JPN,27,0.04,1.32
853,-4,Taylor Totland,USA,31,0.04,1.32
854,-7,Titiya Plucksataporn,THA,18,0.04,1.32
855,2,Hibiki Kitamura,JPN,37,0.04,1.39
856,-6,Chiara  Noja,ENG,3,0.04,1.3
857,55,Hani Kim,KOR,8,0.04,1.3
858,-2,Holly Clyburn,ENG,40,0.04,1.47
859,257,JU-EUN LEE,KOR,11,0.04,1.28
860,-5,Yi-Ting Lai,TPE,22,0.04,1.27
861,-8,Erika Nakano,JPN,21,0.04,1.27
862,-8,Nao OHBAYASHI,JPN,9,0.04,1.27
863,-11,Aunchisa Utama,THA,16,0.04,1.27
864,323,Kiira Riihijarvi,FIN,3,0.04,1.27
865,-4,Yoko Ishikawa,JPN,32,0.04,1.25
866,-8,Trish Johnson,ENG,16,0.04,1.25
867,-5,shuangshuang Fan,CHN,8,0.04,1.25
868,-5,Jae Yoon LEE,KOR,17,0.04,1.24
869,-9,Cindy LaCrosse,USA,18,0.04,1.24
870,-11,Ploychompoo Wirairungrueng,THA,29,0.04,1.23
871,-6,Daniella Uy,PHI,7,0.04,1.23
872,-8,Punpaka Phuntumabamrung,THA,30,0.04,1.23
873,-6,Akane Yoshino,JPN,43,0.04,1.5
874,-4,JI U KO,KOR,7,0.03,1.22
875,42,Emie Peronnin,FRA,34,0.03,1.22
876,-8,Riri Sadoyama,JPN,10,0.03,1.21
877,-8,Wad Phaewchimplee,THA,24,0.03,1.21
878,-12,Pattaraporn MOUNCHOO,THA,15,0.03,1.21
879,-3,Gurleen Kaur,USA,1,0.03,1.2
880,0,Ji Yeon JANG,KOR,4,0.03,1.2
881,-6,Keun Yeong An,KOR,18,0.03,1.2
882,-8,Cih-Hui Chen,TPE,25,0.03,1.2
883,-11,Juyoung5 Park,KOR,24,0.03,1.19
884,-13,Chorphaka Jaengkit,THA,34,0.03,1.19
885,-12,Mookharin Ladgratok,THA,30,0.03,1.19
886,-9,Stefania Avanzo,ITA,23,0.03,1.17
887,-6,Karina Kukkonen,FIN,19,0.03,1.17
888,-8,Zhimeng Zhao,CHN,13,0.03,1.17
889,54,Madelene Stavnar,NOR,19,0.03,1.16
890,-4,Emi Sato,JPN,33,0.03,1.15
891,-12,I-Wen Chen,TPE,33,0.03,1.15
892,-10,Milagros Chaves,PAR,34,0.03,1.15
893,-9,Michelle Piyapattra,USA,42,0.03,1.37
894,211,Thalia Martin,ENG,2,0.03,1.14
895,-12,Karrie Webb,AUS,11,0.03,1.14
896,-8,Jiehong PAN,CHN,13,0.03,1.14
897,-8,Huai-Chien Hsu,TPE,15,0.03,1.13
898,-8,Gabby Lemieux,USA,22,0.03,1.13
899,-14,Mei Takagi,JPN,47,0.03,1.52
900,-13,Lucie Andre,FRA,33,0.03,1.13
901,-9,Airi Kameda,JPN,43,0.03,1.38
902,-9,JIHYUN LEE,KOR,2,0.03,1.12
903,-25,Jihee Baek,KOR,28,0.03,1.12
904,-13,Frida Gustafsson Spaang,SWE,30,0.03,1.12
905,-11,Carolin Kauffmann,GER,29,0.03,1.1
906,-11,Jane Turner,SCO,25,0.03,1.09
907,-7,Jiaxin Yang,CHN,20,0.03,1.08
908,-7,Yasuko Satoh,JPN,32,0.03,1.08
909,-10,Narumi Yamada,JPN,30,0.03,1.07
910,-14,Chakansim Khamborn,THA,11,0.03,1.07
911,-9,Fang Yang,CHN,19,0.03,1.07
912,-7,Yuai JI,CHN,7,0.03,1.06
913,-10,Jingwen Zhang,CHN,18,0.03,1.06
914,-16,Pauline Del Rosario,PHI,10,0.03,1.05
915,-7,Soo Bin KIM,KOR,23,0.03,1.05
916,-12,Doris Chen,TPE,17,0.03,1.04
917,-11,Chatpara SIRIPRAKOB,THA,24,0.03,1.04
918,41,Emilia Tukiainen,FIN,9,0.03,1.04
919,-8,Caizhu Guo,CHN,18,0.03,1.04
920,-11,Yi-Ching Wu,TPE,28,0.03,1.04
921,-8,Min QIN,CHN,18,0.03,1.03
922,-12,Danlin Cai,CHN,15,0.03,1.03
923,-8,Minami Oshiro,JPN,19,0.03,1.02
924,-17,Kultida Pramphun,THA,4,0.03,1.02
925,85,Line Toft Hansen,DEN,14,0.03,1.02
926,-12,Stella Kim,KOR,3,0.03,1.02
927,-9,Yi-Lin Liang,TPE,24,0.03,1.01
928,-8,So Young Kim,KOR,21,0.03,0.99
929,-13,Sierra Sims,USA,43,0.03,1.21
930,-9,Ayana Kon,JPN,25,0.03,0.98
931,-8,Nannette Hill,USA,43,0.03,1.21
932,-6,su bin An,KOR,11,0.03,0.98
933,45,Minju Kim,KOR,3,0.03,0.98
934,-12,Piti Martinez Bernal,ESP,30,0.03,0.97
935,-11,Yifan Ji,CHN,19,0.03,0.97
936,-11,Rino Kotake,JPN,30,0.03,0.96
937,-6,Natsuka Hori,JPN,32,0.03,0.96
938,-6,Dongmei LI,CHN,18,0.03,0.96
939,-10,Patricia Sanz Barrio,ESP,44,0.03,1.2
940,-7,Shiho Kuwaki,JPN,5,0.03,0.95
941,-11,Anika Varma,IND,2,0.03,0.95
942,-15,Amanda Tan,SIN,17,0.03,0.95
943,-9,Karin Hanada,JPN,4,0.03,0.95
944,115,Gyeong rim Baek,KOR,13,0.03,0.93
945,-17,Natalia  Escuriola,ESP,21,0.03,0.93
946,-10,chan mee Kim,KOR,18,0.03,0.93
947,-7,Sayaka Tsuchida,JPN,36,0.03,0.96
948,50,Yvie Chaucheprat,FRA,7,0.03,0.93
949,-10,Ines Laklalech,MAR,5,0.03,0.93
950,-12,Dori Carter,USA,21,0.03,0.92
951,-14,Katerina Vlasinova,CZE,26,0.03,0.92
952,-10,Brooke Matthews,USA,1,0.03,0.9
953,-12,Jihyun SEO,KOR,16,0.03,0.9
954,-8,Caitlyn Macnab,RSA,2,0.03,0.89
955,-8,Natasha  Fear,ESP,29,0.03,0.88
956,-7,Lin Meng,CHN,20,0.02,0.87
957,-3,Su Yeon Bae,KOR,11,0.02,0.87
958,-8,Soo Jin Lee,KOR,23,0.02,0.86
959,-7,Gabrielle Shipley,USA,12,0.02,0.86
960,-25,Akane Iijima,JPN,16,0.02,0.85
961,-10,Luisa Dittrich,GER,22,0.02,0.85
962,-9,Amelia Lewis,USA,42,0.02,1.02
963,-18,Mina Nakayama,JPN,27,0.02,0.85
964,-20,Amy Lee,USA,38,0.02,0.92
965,-10,Emilie Alonso,FRA,31,0.02,0.85
966,-10,Samantha Troyanovich,USA,42,0.02,1.01
967,96,Patricia Isabel Schmidt,GER,7,0.02,0.84
968,-20,Ying Luo,CHN,13,0.02,0.84
969,-11,Alexandra Kaui,USA,28,0.02,0.83
970,-10,Karah Sanford,USA,29,0.02,0.82
971,-9,Panpan Yan,CHN,12,0.02,0.82
972,-11,Kum-Kang Park,KOR,17,0.02,0.82
973,-9,Tereza Kozeluhova,CZE,14,0.02,0.82
974,63,Georgia Iziemgbe Oboh,NIG,34,0.02,0.81
975,-18,Ji Eun Baik,KOR,40,0.02,0.93
976,-7,Natalie Gulbis,USA,15,0.02,0.81
977,-7,Ga Yeon KONG,KOR,1,0.02,0.81
978,-12,Stephanie  Bunque,AUS,5,0.02,0.81
979,-11,Andrea Wong,USA,34,0.02,0.8
980,-15,Esther Lee,KOR,33,0.02,0.8
981,-14,Sangkaro Pimpadsorn,THA,20,0.02,0.79
982,-7,Aya Ezawa,JPN,26,0.02,0.79
983,-10,Yumi Narisawa,JPN,1,0.02,0.79
984,-10,Mirai Hamasaki,JPN,4,0.02,0.79
985,69,Rebecca Lee-Bentham,CAN,13,0.02,0.79
986,-14,Porani Chutichai,THA,25,0.02,0.78
987,-24,Soo-Jin Yang,KOR,13,0.02,0.78
988,-17,Katelyn Sepmoree,USA,29,0.02,0.78
989,-13,Ye Seul Lee,KOR,17,0.02,0.78
990,-13,Brittany Benvenuto,USA,32,0.02,0.77
991,-8,Nicole Sakamoto,USA,36,0.02,0.78
992,-10,Ayame Sakuma,JPN,28,0.02,0.75
993,-14,Dolnapa Phudthipinij,THA,17,0.02,0.75
994,-14,Eun Ji Hyun,KOR,3,0.02,0.75
995,-10,Na Eun Keum,KOR,4,0.02,0.74
